,Id,library,also_in,Name,SMILES,raw_SMILES,inchikey,N_heavy_atoms,Murcko,Murcko_name
1459,EN300-7539111,Euopen,,N-[(3-methylthiophen-2-yl)methyl]propan-2-amine,CC(C)NCc1c(C)ccs1,CC(C)NCc1c(C)ccs1,SPXWKQPRAOWJIC-UHFFFAOYSA-N,11,c1ccsc1,thiophene
1460,A0434,Euopen,,3-(trifluoromethyl)aniline,Nc1cccc(C(F)(F)F)c1,Nc1cccc(C(F)(F)F)c1,VIUDTWATMPPKEL-UHFFFAOYSA-N,11,c1ccccc1,benzene
1461,Z19735702,Euopen,,2-phenoxyacetamide,NC(COc1ccccc1)=O,NC(COc1ccccc1)=O,AOPRXJXHLWYPQR-UHFFFAOYSA-N,11,c1ccccc1,benzene
1462,PB33622888,Euopen,,4-(hydroxymethyl)benzamide,NC(c1ccc(CO)cc1)=O,NC(c1ccc(CO)cc1)=O,CBNMHHVYVQEPCW-UHFFFAOYSA-N,11,c1ccccc1,benzene
1463,Z166797056,Euopen,,N-propan-2-ylfuran-3-carboxamide,CC(C)NC(c1cocc1)=O,CC(C)NC(c1cocc1)=O,MUNPETWGBVFLFP-UHFFFAOYSA-N,11,c1ccoc1,furan
1464,H0188,Euopen,,N-(3-hydroxyphenyl)acetamide,CC(Nc1cc(O)ccc1)=O,CC(Nc1cc(O)ccc1)=O,QLNWXBAGRTUKKI-UHFFFAOYSA-N,11,c1ccccc1,benzene
1465,Z1318357724,Euopen,,2-methoxy-1-(5-methylfuran-2-yl)ethanamine,Cc1ccc(C(COC)N)o1,Cc1ccc(C(COC)N)o1,OSJIINVCPQVBEQ-UHFFFAOYSA-N,11,c1ccoc1,furan
1466,STL068928,Euopen,,5-chloro-2-hydroxybenzamide,NC(c(cc(cc1)Cl)c1O)=O,NC(c(cc(cc1)Cl)c1O)=O,NNHMQZBVJPQCAK-UHFFFAOYSA-N,11,c1ccccc1,benzene
1467,Z2065464266,Euopen,,(1-methylsulfonylcyclopentyl)methanamine,CS(C1(CN)CCCC1)(=O)=O,CS(C1(CN)CCCC1)(=O)=O,YIHCDJHLBGVHNU-UHFFFAOYSA-N,11,C1CCCC1,Cyclopentane
1468,Z1954803302,Euopen,,4-(methylsulfonylmethyl)piperidine,CS(CC1CCNCC1)(=O)=O,CS(CC1CCNCC1)(=O)=O,LGYCYNNJLVQISG-UHFFFAOYSA-N,11,C1CCNCC1,Piperidine
1469,Z1816805080,Euopen,,(2R)-2-hydroxy-N-(thiolan-3-yl)propanamide,C[C@H](C(NC1CSCC1)=O)O,C[C@H](C(NC1CSCC1)=O)O,PCBPCEMEHKOARA-LWOQYNTDSA-N,11,C1CCSC1,Thiolane
